Probes	Sample_A	Sample_B	Sample_C	Sample_D	Sample_E	Sample_F	Sample_G	Sample_H	Sample_I
1415856_at	6.243766306	6.719764812	8.132705514	8.030350643	7.819638964	7.81524897	7.088675378	7.41482738	7.492785275
1415857_at	7.49867713	7.683634579	9.101889594	8.998973753	8.638244718	8.597007658	8.037395166	8.388854225	8.165786867
1415858_at	9.62457462	9.714535408	9.880375627	9.83255992	9.701377993	9.784582085	9.906836938	9.800227878	9.665185502
1415859_at	9.221630316	9.341544626	9.176724843	9.089384134	9.169677551	9.137460703	8.694881069	8.875466334	9.459322359
1415860_at	8.745489994	9.125906135	8.973294812	8.80846543	9.157305597	9.263714438	10.62875866	10.55152831	10.07884552
1415861_at	4.246319391	3.706211501	4.295909983	2.653870029	3.800944726	3.304614353	3.740362686	4.313897544	2.881808923
1415862_at	3.511257753	3.955334469	4.087264437	3.948228454	3.93912055	3.390345515	4.127702137	3.882190485	3.585265148
1415863_at	10.40406343	10.4070366	10.43812083	10.43831569	10.54895898	10.64799448	10.66733645	10.35280585	10.47698275
1415864_at	4.995758282	5.441425685	6.673754795	6.418719102	7.616423189	7.855156246	5.04351125	5.069076239	4.450066177
1415865_s_at	6.018328154	6.046920357	7.491369728	7.306681801	8.656955048	8.603861304	5.95303583	6.189975919	6.468921889
1415866_at	6.725743592	6.756958257	6.745121063	6.753444348	6.657591903	6.722529327	5.762099202	6.332758519	6.446338078
1415867_at	10.00586758	10.00520743	10.2396872	10.10517397	10.11206769	10.10946966	9.995360624	10.1130903	9.813188605
1415868_at	2.930288088	2.678215747	3.306545266	2.632354849	4.184555229	3.511097487	1.289144175	2.86824732	2.996830113
1415869_a_at	9.019560962	9.252236268	9.399817922	9.347059386	9.305678775	9.180057332	9.344086736	9.475542365	9.319466686
1415870_at	7.941869814	8.020177323	8.28002934	8.217011328	8.307424503	8.386415423	8.614320745	8.637825715	8.454766243
1415871_at	6.369792826	6.382915717	7.968798155	7.903937102	8.075460582	7.987578253	8.52863265	9.538523449	9.20132014
1415872_at	10.42892547	10.31616687	9.827020176	9.711640313	9.880622326	9.878126894	10.35731245	10.16835869	10.28179531
1415873_a_at	8.773000592	8.664520747	8.777035117	8.832243479	8.721829003	8.68201022	8.589324424	8.779397879	8.714514272
1415874_at	5.92665686	5.546325843	5.814036956	5.990437019	6.059079803	5.706793476	6.475280095	6.548523656	6.485510587
1415875_at	4.449232199	4.018207583	4.487008371	4.721514093	4.645899135	4.370315225	4.98776817	4.189365732	4.154488177
1415876_a_at	11.9031092	11.87074884	11.85525186	12.01433494	11.91666864	11.90450705	12.02168683	11.78542189	11.80180276
1415877_at	4.882072053	4.713964685	4.210361399	4.661674548	4.569972221	4.626240507	5.233120964	5.242077798	5.642206083
1415878_at	7.452764781	7.567870804	7.566726949	7.620933219	8.103025331	8.091469885	9.279114736	9.354641826	9.040392024
1415879_a_at	12.14323372	12.2892359	12.44295541	12.43453911	12.38275483	12.42696676	12.19624616	12.28617492	12.43969957
1415880_a_at	9.780814744	9.813512163	10.30194737	10.20433168	10.29106945	10.34994494	11.13782492	11.36421	11.29805677
1415881_at	8.08656633	8.06138068	8.496770547	8.490261171	8.649824225	8.465525582	8.830007657	8.681934865	8.731221602
1415882_at	9.31151549	9.250313221	9.47089286	9.396631603	9.45158649	9.305823802	9.969546021	9.956536938	9.745733273
1415883_a_at	2.961100524	2.399125058	1.88514195	3.09591946	2.478521984	2.868845758	2.238817753	3.355451031	2.620965053
1415884_at	6.389792165	6.422274707	6.278030924	6.125188262	6.446862039	6.089519298	6.556827086	6.699958634	6.321002483
1415885_at	4.128760722	3.28699607	3.268491464	3.772295534	4.286914498	3.712773724	4.332981704	4.508514078	3.738751139
1415886_at	7.646878246	7.744012619	7.664534455	7.698807308	7.714521075	7.543435103	6.912058878	6.98207891	6.754433412
1415887_at	10.11388486	9.978802227	9.778569932	10.20921175	9.9873805	10.12817447	10.39526754	10.29860733	10.22687924
1415888_at	8.453825606	8.536398811	8.765526233	8.621558838	8.614410925	8.723806718	9.144966171	8.886409167	8.726366663
1415889_a_at	10.6324205	10.71640674	10.75422081	10.65187279	11.19107371	11.25453866	10.16997842	10.83951825	10.54414058
1415890_at	6.914186883	7.023303251	7.453752929	7.30414394	7.282111743	7.41512272	7.595453026	7.461277467	7.479766001
1415891_at	8.952713635	9.023018721	9.044697193	8.946583398	8.791260227	8.928480131	8.951646801	8.793995845	8.34432517
1415892_at	7.549173451	7.750268857	7.729671408	7.686554726	7.767981447	7.884661609	8.137796413	7.995834189	8.016233721
1415893_at	6.41723716	6.519292202	6.787953785	6.59205467	6.449223271	6.689247001	7.079834203	6.92375579	6.423707719
1415894_at	4.021567687	3.598118958	4.070593111	4.222228043	4.02643306	3.851575177	8.855689313	8.65480431	8.755948881
1415895_at	9.711191177	9.606589802	9.285148326	9.297026455	9.411922927	9.365844032	9.915913577	9.866759122	9.935834924
1415896_x_at	9.467300751	9.327996352	8.818860841	8.9532697	8.996337263	9.132925185	9.610428016	9.42472647	9.393130206
1415897_a_at	6.596699428	7.039777075	7.685584754	7.576645808	8.099828409	8.24783282	8.610989722	8.730067133	8.272319382
1415898_at	3.941573867	4.135457491	3.719873767	3.832027211	4.659288374	3.90761995	4.150942056	3.791401772	3.033457766
1415899_at	8.587606599	8.013517151	8.622152092	8.338209117	8.684318157	8.804131359	8.481043095	8.63194184	8.444309451
1415900_a_at	5.573954158	5.637346959	5.779229124	5.811180706	5.912548382	6.013025865	6.430437677	5.958267805	5.940865993
1415901_at	7.29929287	7.444688303	7.370488687	7.454619145	7.407594319	7.580999284	7.596943004	7.685645521	7.481062028
1415902_at	1.796564893	1.819886542	1.625147766	1.610146013	1.743673286	1.52722221	1.748198925	1.675274733	1.654456402
1415903_at	9.029337049	8.872377241	9.061971368	8.889699704	9.011856902	8.943158522	8.786680923	8.721333076	9.26736301
1415904_at	3.780511241	4.948661615	5.106248923	4.872042992	5.658296391	5.49116219	7.558663274	7.472966537	7.742242719
1415905_at	3.850039882	4.914371827	4.805446095	4.9264599	5.169595684	4.083570694	5.028002009	4.958547438	4.618212033
1415906_at	12.54242505	12.52158343	12.47722507	12.51372902	12.57001089	12.54974295	12.69785428	12.74629111	12.82860562
1415907_at	9.045595813	9.324483094	9.621228531	9.630403651	9.574599337	9.480779789	9.342685116	10.06084155	9.372299807
1415908_at	7.499904938	7.356826282	7.413715908	7.187659737	7.583738192	7.715286599	8.219901826	8.266425003	8.128715987
1415909_at	9.540647518	9.038035824	8.917293147	8.743306856	9.04244826	9.22190809	8.994472957	9.334845765	8.74435811
1415910_s_at	7.736860721	7.586544067	7.532948965	7.339924592	7.658353505	7.599058636	7.544686455	7.774397787	7.631272183
1415911_at	7.345709333	7.449625405	7.31060787	7.299392965	7.218373162	7.167394113	7.881586514	7.803304486	8.07247016
1415912_a_at	11.26910746	11.25383868	11.17212557	11.16117262	10.88883719	10.83424507	11.04086755	10.87812251	10.69833058
1415913_at	6.340828422	6.095784074	5.840985096	5.313225876	5.276816673	5.956232945	5.539862844	5.880354013	5.900995955
1415914_at	9.469687173	9.61546282	9.859021744	9.778509973	9.958132529	9.944336654	10.364991	10.49349333	10.14662448
1415915_at	7.459294755	7.713857223	7.742391116	7.817191602	7.722239193	7.72066677	8.729907872	8.336720536	8.300206894
1415916_a_at	6.972235459	7.342417134	7.440105382	7.14354617	7.61741298	7.561427576	7.986962139	7.987809628	7.628259428
1415917_at	7.080812079	7.508340984	7.204053428	7.398573408	7.551627447	7.535334292	8.173431049	8.268886305	7.701864736
1415918_a_at	7.853623128	8.04496078	8.332468222	8.154420867	8.151072886	8.20778127	9.981062548	9.61335473	9.356756579
1415919_at	5.976341213	6.179367404	5.938505435	5.818656799	5.607379299	5.906356268	6.903444869	6.829860535	6.619656602
1415920_at	8.673454354	8.518779602	8.816365643	8.637452374	8.78584153	8.798174766	8.196367063	8.040939006	8.722420407
