Hybridization REF	TCGA-AA-3841-01A-01R-0905-07	TCGA-AA-3866-01A-01R-1022-07	TCGA-AA-3870-01A-01R-1022-07	TCGA-AA-3939-01A-01R-1022-07	TCGA-AA-3941-01A-01R-1022-07	TCGA-AA-3968-01A-01R-1022-07	TCGA-AA-3970-01A-01R-1022-07	TCGA-AA-3977-01A-01R-1022-07	TCGA-AA-3979-01A-01R-1022-07	TCGA-AA-3980-01A-02R-1022-07
TJAP1|93643	7.79189527954866	6.18153074043524	7.64155493666628	3.44313866076032	4.14051627774111	10.5601665014175	7.24566312397985	4.1427038906008	7.86656796015498	8.10252619458367
TJP1|7082	4.78364062244499	7.25139883625778	7.63769742278927	6.00078499329416	13.0881969623495	9.31394821681665	7.5453821582409	6.04082317707545	4.16679830997785	3.95716962908202
TJP2|9414	19.7877001611233	34.3945196895749	18.6931879287656	18.8962110516165	35.818443481784	34.6363632469958	24.8896176250173	22.9085124384094	22.9056136709703	31.032272262036
TJP3|27134	41.0638184217191	20.0933098988977	24.1093766629882	21.6960279777908	21.2471793257465	18.67368355544	25.8902920614453	14.285380436142	20.0837155300831	16.9696155595619
TK1|7083	107.602160812603	64.7334995536179	53.2044850527104	23.7304155041447	21.7242013011174	56.9537784003085	52.2191838046085	45.7251679538492	61.6946826785164	60.0063884352196
TK2|7084	4.60915458465646	7.43795609139058	6.07290214567872	3.2935777066608	10.5584886318608	3.52117613766974	5.1282805454011	3.59297570209801	1.3560606777503	5.85192834740539
TKTL1|8277	0.0593909540982731	0.0539028527846208	0.0395572979546117	0	0.0139706574280362	0	0.015539719834723	0.154003654750156	0	0
TKTL2|84076	0	0	0	0	0	0	0.0142744130734185	0.0943093700573154	0.0120945206331744	0
TKT|7086	292.467271918257	159.482835213623	179.309256412105	122.496602477838	172.065947818766	106.285214707912	153.288266989798	125.540289614337	155.858316054122	153.847347669058
TLCD1|116238	28.2420518239976	22.5549819083087	12.0444495806543	5.93724538214677	8.1447780586282	5.4843343278767	24.0891610372364	25.7212035319642	20.3043061761292	20.836949830473
